mE,M_phi
1317,491890.0328455301
1318,492076.72473706264
1319,492263.34579693334
1320,492449.89610567054
1321,492636.3757436496
1322,492822.7847910941
1323,493009.12332807574
1324,493195.3914345153
1325,493381.5891901823
1326,493567.71667469596
1327,493753.77396752546
1328,493939.7611479902
1329,494125.6782952603
1330,494311.5254883572
1331,494497.30280615337
1332,494683.0103273736
1333,494868.6481305947
1334,495054.2162942464
1335,495239.71489661117
1336,495425.1440158251
1337,495610.50372987805
1338,495795.79411661415
1339,495981.015253732
1340,496166.1672187852
1341,496351.25008918275
1342,496536.2639421893
1343,496721.2088549255
1344,496906.0849043688
1345,497090.89216735325
1346,497275.63072057004
1347,497460.3006405681
1348,497644.9020037541
1349,497829.43488639354
1350,498013.89936460997
1351,498198.2955143865
1352,498382.6234115653
1353,498566.8831318487
1354,498751.07475079887
1355,498935.1983438385
1356,499119.25398625137
1357,499303.2417531824
1358,499487.16171963804
1359,499671.0139604866
1360,499854.798550459
1361,500038.51556414855
1362,500222.16507601156
1363,500405.7471603679
