mE,mPhi,delta
3,373.14403344428416,2.670213105565524e-09
3,363.5707691338627,2.812486495728989e-09
3,403.0463409988202,2.289138175729629e-09
3,373.7563200014326,2.6614831386782176e-09
3,389.40914663466117,2.4520761135995e-09
3,407.5945707448615,2.238393275509851e-09
3,427.178377634108,2.038070561998306e-09
3,413.80712313216014,2.1717608959155945e-09
3,359.1708087228682,2.88171818543749e-09
3,421.3156533109985,2.0951243184296025e-09
3,403.6589238278692,2.282203600237308e-09
3,370.9387904787308,2.702013859116619e-09
3,424.74025673926235,2.061510942897843e-09
3,387.64186707578546,2.474457553593663e-09
3,353.6441002907922,2.9723602779324326e-09
3,366.021377212352,2.775003225555807e-09
3,376.3146508195878,2.625465604129619e-09
3,399.778774290789,2.3266671014377885e-09
3,379.2217075073074,2.585418624672073e-09
3,392.10835276762646,2.41847385136401e-09
3,401.2924839108551,2.309167898921196e-09
3,426.26126221603,2.0468406971874244e-09
3,384.82102719415207,2.5108215929295723e-09
3,403.8678736626516,2.279845444956652e-09
3,404.7338450827452,2.2701111569296436e-09
3,418.7404543126774,2.1209449307779805e-09
3,407.7842748523351,2.2363134948890797e-09
3,360.59263857446007,2.859069368880066e-09
3,421.42219903755455,2.094066194385686e-09
3,408.5212861564399,2.228260864974819e-09
3,387.34538655548124,2.478242277336969e-09
3,404.8711104575268,2.268573896385428e-09
3,380.61515495595535,2.566546804284406e-09
3,373.35837207458184,2.6671521922096673e-09
3,397.39073776537356,2.3546809936953595e-09
3,425.9698981691033,2.0496387837558122e-09
3,365.4637401124253,2.7834664471886846e-09
3,403.8531548038377,2.2800114386388156e-09
3,410.2546579985862,2.209492472670793e-09
3,406.3592591404146,2.25200756713922e-09
3,401.1208433975151,2.31114220577774e-09
3,360.2471168678536,2.8645486880852557e-09
3,400.11624687721104,2.32274857364111e-09
3,378.5798177633949,2.5941819801947807e-09
3,374.3832555148103,2.65258857995354e-09
3,421.055355281055,2.097712757876737e-09
3,400.8326228370144,2.314463181418458e-09
3,399.04829364243597,2.3351830267117112e-09
3,423.4202058436421,2.0743711458311153e-09
